EdgeNumber Node1 Node2 FullCorrelation PartialCorrelation
891 30 43 1.08 0.09
892 31 43 -3.00 -0.67
893 32 43 0.55 -0.04
894 33 43 0.14 0.04
895 34 43 -0.15 -0.30
896 35 43 0.37 -0.06
897 36 43 0.28 -0.07
898 37 43 -1.04 0.04
899 38 43 -0.40 -0.08
900 39 43 0.18 0.04
901 40 43 -1.02 -0.29
902 41 43 0.90 0.05
903 42 43 1.62 0.29
904 1 44 -1.73 -0.12
905 2 44 1.28 0.38
906 3 44 -0.53 -0.28
907 4 44 -0.67 -0.41
908 5 44 -2.69 -0.60
909 6 44 -1.08 -0.32
910 7 44 -4.28 -0.26
911 8 44 1.04 0.20
